feature,gain_total
vol_21d,468579.040248394
atr_14,235738.5336880684
vol_63d,68279.30391979218
high_low_range_21,43349.29946231842
sma_200,38233.76746606827
volume_z_21,37830.16150712967
ret_63d,28398.80083656311
vol_5d,23819.336342811584
sma_50,21729.00915980339
gap_overnight,19379.594284057617
ret_21d,19207.438162326813
bb_lower,16922.094738960266
macd_hist,15902.667653083801
bb_upper,15775.286254882812
sma_5,14990.992553710938
macd_signal,14294.67007303238
ret_5d,13644.737599849701
bb_pctb,12885.264978408813
obv,10801.13808965683
macd,10787.153459072113
sma_20,10236.290768146515
rsi_14,10176.89881515503
ret_1d,9992.590156555176
ema_26,6258.711787223816
ema_12,5522.104434013367
log_ret_1d,2075.6475529670715
