date,equity
2015-03-04,98963.82530406959
2015-04-02,98131.26358961912
2015-05-04,97602.72482143618
2015-06-03,98653.27222855948
2015-07-02,97243.6407717243
2015-08-03,100181.28708482538
2015-09-01,92872.16209198265
2015-10-01,93195.11189344365
2015-10-30,98092.37756134794
2015-12-01,98100.50601856112
2015-12-31,98284.58165581439
2016-02-02,98670.45353560463
2016-03-03,102122.84997222785
2016-04-04,106706.43858113496
2016-05-03,106059.19015806938
2016-06-02,106707.87639156106
2016-07-01,112085.61669685456
2016-08-02,110461.38571988148
2016-08-31,108395.52440662777
2016-09-30,107083.67772005001
2016-10-31,106116.70815286478
2016-11-30,108206.37132542541
2016-12-30,111129.44906891475
2017-02-01,110125.32900914962
2017-03-03,116536.24273735928
2017-04-03,115966.18645733251
2017-05-03,116800.28202031113
2017-06-02,120741.33460471228
2017-07-03,120800.50200851339
2017-08-02,123492.66702009858
2017-08-31,122339.81812910248
2017-10-02,124700.35914325266
2017-10-31,125759.96203386597
2017-11-30,128350.60739635202
2018-01-02,124586.79894450116
2018-02-01,124858.70234998982
